"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"88","21:45 - 22:00",144.640439008746,144.640439008746,127.965109269306,374.298587253644,144.640439008746,229.658148244898,342.988761065723,370.576124331029,572.646909310621
"89","22:00 - 22:15",138.622440641399,138.622440641399,124.729954983592,361.555010538387,138.622440641399,222.932569896987,327.381831308676,353.161428976315,550.314401205664
"90","22:15 - 22:30",133.988248309038,133.988248309038,121.751132009831,351.495414746356,133.988248309038,217.507166437318,315.378358072525,339.757871775149,532.885524509842
"91","22:30 - 22:45",129.260602011662,129.260602011662,119.129538190589,340.758790217687,129.260602011662,211.498188206025,302.82326948166,325.890403009357,514.321457687685
"92","22:45 - 23:00",124.035134110787,124.035134110787,116.324083496711,328.912166787172,124.035134110787,204.877032676385,289.809229637151,311.629738091961,494.686262313535
"93","23:00 - 23:15",117.454625072886,117.454625072886,113.049157782426,313.837359634597,117.454625072886,196.38273456171,274.025124097792,294.60727570129,470.407858659502
"94","23:15 - 23:30",111.37223696793,111.37223696793,109.837953584175,300.459665290573,111.37223696793,189.087428322643,260.365349598278,280.033365924809,449.452777920921
"95","23:30 - 23:45",105.585394752187,105.585394752187,106.929617840735,287.948054950437,105.585394752187,182.362660198251,247.522272669221,266.446585205664,429.884932867471
"96","23:45 - 24:00",100.083714489796,100.083714489796,104.107088977761,276.201179547133,100.083714489796,176.117465057337,236.049125147355,254.407186954935,412.166590204692
"97","TOTAL IN Mus",3.31059153255393,3.31059153255393,3.15780266089696,8.89436522432846,3.31059153255393,5.58377369177453,7.82660112057953,8.45716086492356,13.4103748123541
