"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"60","14:45 - 15:00",231.325851114572,231.325851114572,250.308869657113,598.012019600079,231.325851114572,366.686168485507,531.185030481767,559.882837003506,897.871198967273
"61","15:00 - 15:15",232.695087034862,232.695087034862,249.765088497692,601.622616409259,232.695087034862,368.927529374397,533.568623264373,561.968747177417,902.49615263877
"62","15:15 - 15:30",232.2946382595,232.2946382595,248.343060671605,601.432978745006,232.2946382595,369.138340485507,532.85992939964,561.046781573553,901.998269885147
"63","15:30 - 15:45",232.520752643558,232.520752643558,247.742191686098,601.784909264331,232.520752643558,369.264156620773,532.27397891655,560.32094775713,901.538135537323
"64","15:45 - 16:00",231.893709868195,231.893709868195,246.17148806291,600.147497745005,231.893709868195,368.25378787681,531.44380645278,559.439078916548,899.69759432959
"65","16:00 - 16:15",231.926429788485,231.926429788485,245.375257048417,598.634785085585,231.926429788485,366.7083552971,530.06047782476,558.083215505919,896.76883312186
"66","16:15 - 16:30",231.604360650804,231.604360650804,243.509263280301,595.712363310224,231.604360650804,364.10800265942,527.62230302283,555.488879834424,891.73030568225
"67","16:30 - 16:45",231.579308201529,231.579308201529,241.251592265808,593.425118464815,231.579308201529,361.845810263287,525.109296143603,552.935294694328,886.95510640689
"68","16:45 - 17:00",231.398846027616,231.398846027616,238.10145980204,590.784321286069,231.398846027616,359.385475258453,523.30597245278,551.295614481765,882.691447711233
"69","17:00 - 17:15",231.055918324717,231.055918324717,233.777409077402,588.027543090417,231.055918324717,356.9716247657,520.755049467273,548.981207438288,877.726674232973
"70","17:15 - 17:30",230.131755389935,230.131755389935,226.917900236823,584.281390426168,230.131755389935,354.149635036233,516.673941902057,544.941573786115,870.82357693829
"71","17:30 - 17:45",229.552028636311,229.552028636311,218.775292845518,579.536352174958,229.552028636311,349.984323538647,512.000537409303,539.930352626695,861.98486094795
"72","17:45 - 18:00",229.606365230514,229.606365230514,210.567339946968,576.927366817471,229.606365230514,347.321001586957,509.685433177417,537.347488974518,857.006434764373
"73","18:00 - 18:15",229.7118322595,229.7118322595,203.561770526678,575.174652783653,229.7118322595,345.462820524153,508.40631433684,535.779613612202,853.869134860993
"74","18:15 - 18:30",230.078217621819,230.078217621819,197.826833135373,575.679819653219,230.078217621819,345.6016020314,509.42644949626,536.895098046985,855.02805152766
"75","18:30 - 18:45",231.085546389935,231.085546389935,193.964439367257,579.445885455151,231.085546389935,348.360339065217,512.490316520413,540.11959260737,860.85065558563
"76","18:45 - 19:00",233.053873781239,233.053873781239,191.391697628127,584.767682112156,233.053873781239,351.713808330917,517.272113148433,545.310884162926,868.98592147935
"77","19:00 - 19:15",234.332877549355,234.332877549355,189.33319038175,589.799465928582,234.332877549355,355.466588379227,522.935303534907,551.519725274037,878.401891914133
"78","19:15 - 19:30",236.114838346457,236.114838346457,187.348601541171,595.805786522786,236.114838346457,359.69094817633,531.14901571848,560.447817892393,890.83996389481
"79","19:30 - 19:45",237.425904071094,237.425904071094,184.777921541171,600.167004537277,237.425904071094,362.741100466183,538.081345989013,568.059116278868,900.822446455197
"80","19:45 - 20:00",238.089266208775,238.089266208775,181.369901251315,603.218499447905,238.089266208775,365.12923323913,544.591823312683,575.145234906886,909.721056551813
"81","20:00 - 20:15",236.78773417979,236.78773417979,176.917198497692,600.332832133896,236.78773417979,363.545097954107,547.084530530077,577.844733428627,910.629628484183
"82","20:15 - 20:30",235.522674397181,235.522674397181,173.131083135373,597.416652351288,235.522674397181,361.893977954107,549.190925940703,580.081535360993,911.08490389481
"83","20:30 - 20:45",234.199174505877,234.199174505877,170.097224874504,593.777778894767,234.199174505877,359.57860438889,550.447031534907,581.340396752298,910.025635923797
"84","20:45 - 21:00",232.771430665297,232.771430665297,167.283878787547,589.3219275566,232.771430665297,356.550496891303,551.93255028853,582.666145940704,908.483047179833
"85","21:00 - 21:15",230.530038056601,230.530038056601,164.308691251315,581.681591083171,230.530038056601,351.15155302657,551.332211592877,581.640451447949,902.483764619447
"86","21:15 - 21:30",230.841766063848,230.841766063848,162.526892845518,583.664277998631,230.841766063848,352.822511934783,555.162999592877,585.112459737804,907.98551152766
"87","21:30 - 21:45",232.216643745007,232.216643745007,161.100806468707,589.283274085587,232.216643745007,357.06663034058,558.941041911717,588.465210752296,916.007672252297
"88","21:45 - 22:00",233.828164071094,233.828164071094,160.017923280301,595.121157648387,233.828164071094,361.292993577293,562.529064472103,591.527382588045,923.822058049397
"89","22:00 - 22:15",234.060557042109,234.060557042109,158.328175019431,597.838518609742,234.060557042109,363.777961567633,562.59553870399,590.767755370657,926.373500271623
"90","22:15 - 22:30",235.798405520369,235.798405520369,157.119125309286,603.053763464813,235.798405520369,367.255357944443,566.36490281027,593.961788317516,933.620260754713
"91","22:30 - 22:45",236.884879324717,236.884879324717,156.214316323779,606.734262902011,236.884879324717,369.849383577293,568.009482104953,595.055841525243,937.858865682247
"92","22:45 - 23:00",236.935695484138,236.935695484138,154.853639512185,607.537076645974,236.935695484138,370.601381161837,567.6648523465,594.173271911717,938.266233508337
"93","23:00 - 23:15",234.906107042108,234.906107042108,152.725714874504,603.135689981722,234.906107042108,368.229582939613,562.471767960027,588.32788897452,930.70135089964
"94","23:15 - 23:30",233.239912114572,233.239912114572,150.51411980204,599.648893527616,233.239912114572,366.408981413043,558.713065332007,584.144326926209,925.12204674505
"95","23:30 - 23:45",230.997283672543,230.997283672543,148.136739077402,594.74023698897,230.997283672543,363.742953316427,552.523504684663,577.638731496257,916.26645800109
"96","23:45 - 24:00",227.611679868195,227.611679868195,145.7582874832,587.448759938242,227.611679868195,359.837080070047,545.227668945533,570.054908800606,905.06474901558
"97","TOTAL IN Mus",5.12520313907037,5.12520313907037,4.39869894057505,13.1045059937225,5.12520313907037,7.97930285465217,11.9419227283039,12.6050052373619,19.9212255829561
