"","id_grid","X","id_discom","id_subdiv","x","y","area_intersection","id_intersect","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom","area_grid","weight_in_grid"
"59","MEHRAULI",42,"BRPL","Vasant Vihar",-1064400.20181483,3256858.8968515,8766427.89229658,70,97787044.6336408,770007528.14153,0.0896481525251121,0.011384859981116,129513228.612576,0.0676875095015998
"60","MEHRAULI",3,"BRPL","Hauz Khas",-1059581.20816241,3253402.74687974,120746800.720279,63,164380210.216045,770007528.14153,0.734558013775385,0.156812493783937,129513228.612576,0.9323124904984
"61","NAJAFGARH",32,"BRPL","Patel Nagar",-1072276.27268698,3275133.03273213,53130.7243411891,42,55165059.5244254,770007528.14153,0.000963122759210736,6.90002661005458e-05,184617910.087537,0.000287787486685322
"62","NAJAFGARH",41,"BRPL","Punjabi Bagh",-1074119.20136568,3276277.68391512,13772320.4876458,35,74961537.7780212,770007528.14153,0.183725159540202,0.0178859556358966,184617910.087537,0.0745990488198876
"63","NAJAFGARH",48,"BRPL","Najafgarh",-1082908.94068827,3270341.65134467,170792458.87555,77,269733276.673275,770007528.14153,0.633190168384113,0.221806219593424,184617910.087537,0.925113163693427
"64","NARAINA",10,"BRPL","Najafgarh",-1065089.01195266,3270467.97792787,3609460.84218073,74,269733276.673275,770007528.14153,0.0133815926855507,0.00468756565392605,69720115.103542,0.0517707240847249
"65","NARAINA",120,"NDMC","Vasant Vihar",-1058630.63304803,3266208.29672561,301370.855084575,19,97787044.6336408,48353308.4082827,0.0030819098400372,0.00623268324351,69720115.103542,0.00432258114658885
"66","NARAINA",30,"BRPL","Patel Nagar",-1063915.4860503,3275917.08434648,3794369.94739464,39,55165059.5244254,770007528.14153,0.0687821236867261,0.00492770500121295,69720115.103542,0.0544228870213365
"67","NARAINA",35,"BRPL","Rajouri Garden",-1063896.52699852,3273578.37666304,13050446.5265289,44,13900109.776273,770007528.14153,0.938873630250423,0.0169484661507493,69720115.103542,0.187183376090925
"68","NARAINA",114,"NDMC","Delhi Cantonment",-1058891.84251842,3267301.28105854,543511.376510623,16,74652275.951351,48353308.4082827,0.00728057342638576,0.0112404175516048,69720115.103542,0.00779561788880368
"69","NARAINA",44,"BRPL","Vasant Vihar",-1058965.02590718,3265923.23528653,267851.973034874,68,97787044.6336408,770007528.14153,0.00273913557811652,0.000347856304316081,69720115.103542,0.00384181771124567
"70","NARAINA",104,"MES","Delhi Cantonment",-1062192.40451967,3268295.86177253,32931656.7655621,22,74652275.951351,47534041.6042452,0.441133995526444,0.69280153031677,69720115.103542,0.472340826125359
"71","NARAINA",18,"BRPL","Delhi Cantonment",-1059620.74701141,3266263.21408994,2356034.77483616,64,74652275.951351,770007528.14153,0.0315601198330715,0.00305975550722552,69720115.103542,0.0337927550942392
"72","NARAINA",128,"NDPL","Rajouri Garden",-1061986.26784161,3274488.23788541,551718.115274601,147,13900109.776273,529592854.173835,0.0396916372715532,0.0010417778694074,69720115.103542,0.00791332765953182
"73","NARAINA",130,"NDPL","Delhi Cantonment",-1060942.04309904,3272770.96684075,6775367.19434522,158,74652275.951351,529592854.173835,0.0907590171632617,0.0127935396804301,69720115.103542,0.0971795181961915
"74","NARAINA",146,"NDPL","Patel Nagar",-1061103.88883391,3275356.14313373,3479947.61693108,145,55165059.5244254,529592854.173835,0.0630824592039144,0.00657098672972051,69720115.103542,0.0499131077417612
"75","NARAINA",100,"MES","Najafgarh",-1065033.00020167,3268692.38260768,2058379.11585845,26,269733276.673275,47534041.6042452,0.00763116490944401,0.0433032632275606,69720115.103542,0.0295234612392928
"76","NARELA",131,"NDPL","Narela",-1058325.20751061,3295891.83054756,80944972.8973815,129,273957195.070175,529592854.173835,0.29546576747746,0.152843778497834,80944972.8973815,1
"77","OKHLA",12,"BRPL","Kalkaji",-1050704.33536025,3257830.07522028,37841070.2388397,57,67188380.9448394,770007528.14153,0.563208544493826,0.049143766594298,68587448.8950223,0.551720042784475
"78","OKHLA",39,"BRPL","Defence Colony",-1049865.29461185,3261853.0160599,1808035.92376884,51,48638677.7079862,770007528.14153,0.0371728017489253,0.00234807564561436,68587448.8950223,0.0263610318345002
"79","OKHLA",19,"BRPL","Hauz Khas",-1054189.12210543,3254217.4797827,28938342.7324138,60,164380210.216045,770007528.14153,0.176045174138542,0.0375818958578998,68587448.8950223,0.421918925381025
"80","PAPPANKALAN-1",1,"BRPL","Patel Nagar",-1068627.76034607,3273441.15711395,25222066.5677767,40,55165059.5244254,770007528.14153,0.457210900979978,0.0327556103622155,80811582.2688003,0.312109549889539
"81","PAPPANKALAN-1",103,"MES","Delhi Cantonment",-1066420.96229875,3265912.84364885,1542772.07699756,24,74652275.951351,47534041.6042452,0.0206661090681675,0.0324561519477396,80811582.2688003,0.0190909772297973
"82","PAPPANKALAN-1",43,"BRPL","Rajouri Garden",-1065775.82109045,3273743.83276006,297945.134469569,45,13900109.776273,770007528.14153,0.0214347324780233,0.000386937950059634,80811582.2688003,0.00368691128306987
"83","PAPPANKALAN-1",17,"BRPL","Delhi Cantonment",-1068047.6133808,3265164.44439233,6012499.83051083,66,74652275.951351,770007528.14153,0.0805400740150109,0.00780836499744676,80811582.2688003,0.0744014615443575
"84","PAPPANKALAN-1",14,"BRPL","Najafgarh",-1068250.85341096,3269402.62722843,21352483.696552,75,269733276.673275,770007528.14153,0.0791614737339807,0.027730227194126,80811582.2688003,0.264225536700025
"85","PAPPANKALAN-1",11,"BRPL","Vasant Vihar",-1070447.00852399,3264657.26774458,18742642.6815568,71,97787044.6336408,770007528.14153,0.19166795306859,0.0243408564157724,80811582.2688003,0.231930153517028
"86","PAPPANKALAN-1",101,"MES","Najafgarh",-1066417.20036028,3267107.40350992,1784849.27695283,27,269733276.673275,47534041.6042452,0.00661708966341143,0.0375488642815809,80811582.2688003,0.0220865527792286
"87","PAPPANKALAN-1",16,"BRPL","Punjabi Bagh",-1068748.38374003,3276380.59215561,5856323.00398402,33,74961537.7780212,770007528.14153,0.078124371211887,0.00760553993299089,80811582.2688003,0.0724688570569546
