"","subdiv_name","population","scheduled_caste","literacy","tot_workers","main_workers","marginal_workers","female","male","female_workers","male_workers","total_household","total_hh_good","total_hh_liveable","total_hh_dilapidated","total_residence_household","res_good","res_liveable","res_dilapidated","other_total_households","other_good","other_liveable","other_dilapidated","intersection_id","discom_ratio","subdiv_ratio","discom_name","district_name"
"34","Paharganj",20111.0212844728,6174.08353433314,16933.4799215261,7179.63459855678,6696.97008772944,502.775532111819,9402.277256532,10708.7440279408,1062.45732998812,6125.40158398213,13197.5373879601,7578.96402102619,5193.00239772702,425.570969206914,12676.4864908851,7327.88290793524,4939.73296300821,408.87061994169,521.050897074988,251.081113090953,253.26943471881,16.700349265224,"4 13",0.000873049736801534,0.115174822518786,"NDPL","Central"
"35","Parliament Street",52088.0376079818,12553.2170635236,46722.9697343596,20887.3030808007,20053.894479073,781.320564119726,23530.999445711,28557.0381622707,4164.98690189085,16705.8673249283,30207.562368182,20400.170472111,8692.93813879819,1114.45375727273,29614.0486366103,20196.3675994608,8332.05793015412,1085.62310699538,593.513731571651,203.802872650232,360.880208644069,28.8306502773499,"0 17",0.157095609402639,0.994160354391376,"NDMC","New Delhi"
"36","Parliament Street",305.962392018227,73.7369364763927,274.44826564035,122.690919199309,117.795520927017,4.58943588027341,138.21985253455,167.742539483677,24.4649138986153,98.129385597951,177.437631818029,119.829527888957,51.0618612018051,6.5462427272671,173.951363389681,118.632400539189,48.9420698458747,6.37689300461702,3.48626842834831,1.19712734976785,2.11979135593038,0.169349722650086,"3 17",0.000239549175637502,0.00583964560862364,"BYPL","New Delhi"
"37","Patel Nagar",129343.41486599,16167.9268582488,113822.205082071,44106.1044693027,42036.6098314469,2069.49463785585,60653.3379323789,68690.0769336114,7096.44053808833,36955.2613902829,53668.0307818544,36651.2531131771,15494.364649666,1522.41301901121,51511.5864388917,35385.7524150236,14689.8099504026,1436.02407346554,2156.44434296264,1265.50069815357,804.554699263397,86.3889455456685,"3 4",0.0303507254908561,0.102477989971137,"BYPL","West"
"38","Patel Nagar",197623.386986392,24702.923373299,173908.580548025,67389.5749623596,64227.6007705773,3161.97419178227,92672.0396755093,104951.347310883,10842.6286420346,56463.8248532547,81999.2113783966,55999.3315858102,23673.7898442045,2326.08994838193,78704.387012228,54065.7771450073,22444.5133104978,2194.09655672294,3294.82436616861,1933.55444080294,1229.27653370669,131.993391658991,"4 4",0.0163097231249389,0.156575790817308,"NDPL","West"
"39","Patel Nagar",935191.198147618,116898.899768452,822968.254369904,318900.198568338,303937.139397976,14963.0591703619,438541.597431942,496649.600715676,51309.3668995372,267197.485185033,388035.757839749,264999.415301013,112028.845506129,11007.4970326069,372444.02654888,255849.470439969,106211.6767391,10382.8793698115,15591.7312908688,9149.94486104349,5817.16876702992,624.617662795341,"2 4",0.0530830424292871,0.740946219211555,"BRPL","West"
"40","Preet Vihar",44943.6894449899,8224.69516843315,17438.1515046561,15325.7981007416,14561.7553801767,764.042720564828,20999.2624631093,23944.4269818806,2603.90854542555,12714.4907273786,14939.8736175875,11049.1871151476,3603.30097977074,287.385522669113,14293.9412458204,10628.54273416,3390.74445853006,274.654053130302,645.932371767075,420.644380987591,212.556521240673,12.7314695388106,"2 20",0.00308808098159807,0.0421571839033465,"BRPL","East"
"41","Preet Vihar",1021154.31055501,186871.238831567,396207.872495344,348213.619899258,330853.996619823,17359.6232794352,477118.982608814,544035.327946196,59162.7538434929,288882.75913943,339445.126382412,251045.812884852,81869.6990202292,6529.61447733088,324769.058754179,241488.45726584,77040.2555414699,6240.34594686969,14676.0676282329,9557.3556190124,4829.44347875932,289.268530461189,"3 20",0.290055224902009,0.957842816096653,"BYPL","East"
"42","Punjabi Bagh",80011.2787149186,16402.3121365583,68089.5981863957,26403.7219759231,25523.597910059,960.135344579023,37315.8258254209,42695.4528894977,3843.53006001836,22585.8945785443,52413.5211161119,35794.5167913444,15132.1782617109,1486.82606305665,50307.4844410378,34558.597630555,14346.4303200672,1402.45649041551,2106.03667507412,1235.91916078935,785.747941643631,84.3695726411388,"4 3",0.0141662416347804,0.100082529823415,"NDPL","West"
"43","Punjabi Bagh",719441.721285081,147485.552863442,612244.904813604,237415.768024077,229501.909089941,8633.30065542098,335534.719532103,383907.001752978,34560.0761118066,203086.803927326,471289.478883888,321855.483208656,136064.821738289,13369.1739369433,452352.515558962,310742.402369445,128999.569679933,12610.5435095845,18936.9633249259,11113.0808392106,7065.25205835637,758.630427358861,"2 3",0.0876084907904453,0.899917470176585,"BRPL","West"
