"","id_discom","id_subdiv","x","y","area_intersection","id_intersect","grid","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom"
"90","NDPL","Punjabi Bagh",-1061289.20910522,3278748.90708266,473340.869452647,23,"SHALIMARBAGH",74961537.778024,529592854.173852,0.00631444982964869,0.000893782583586865
"91","NDPL","Patel Nagar",-1061919.15398893,3275564.44059748,561238.351914821,31,"ROHINI",55165059.5244373,529592854.173852,0.010173801256685,0.00105975438960621
"92","NDPL","Narela",-1057592.64393672,3287996.94133417,52328006.2949398,2,"SHALIMARBAGH",273957195.070178,529592854.173852,0.191007964881285,0.098807991615691
"93","NDPL","Narela",-1070911.05992474,3288053.01028413,814619.080592026,1,"KANJHAWALA",273957195.070178,529592854.173852,0.00297352686934669,0.00153819877698842
"94","NDPL","Punjabi Bagh",-1070291.56518201,3280704.54521663,1278226.31836513,22,"KANJHAWALA",74961537.778024,529592854.173852,0.0170517622270532,0.0024136018986871
"95","NDPL","Narela",-1051592.07158379,3291060.27703246,7860939.90003008,6,"GOPALPUR",273957195.070178,529592854.173852,0.0286940443305984,0.0148433647434554
"96","NDPL","Narela",-1063960.94393893,3286161.23853191,13736162.4516817,3,"ROHINI",273957195.070178,529592854.173852,0.0501398127111172,0.0259372126028961
"97","NDPL","Patel Nagar",-1059546.66763286,3275176.21977155,7425972.21644288,32,"SUBZI MANDI",55165059.5244373,529592854.173852,0.134613689905533,0.0140220400594852
"98","NDPL","Civil Lines",-1055023.6345423,3285677.816343,3297436.63080667,38,"SHALIMARBAGH",59705912.309326,529592854.173852,0.0552279749737885,0.00622636163765948
"99","NDPL","Sadar Bazaar",-1054462.65056207,3275313.20096934,265087.735086508,42,"SUBZI MANDI",4462705.43772986,529592854.173852,0.0594006794276246,0.000500550060291196
"100","NDPL","Rajouri Garden",-1062200.87510528,3274992.63528901,110997.156592551,34,"ROHINI",13900109.7762597,529592854.173852,0.00798534388427104,0.000209589604009486
"101","NDPL","Civil Lines",-1054144.87090174,3276897.54586481,16640095.4311574,39,"SUBZI MANDI",59705912.309326,529592854.173852,0.278700965910175,0.0314205437252649
"102","NDPL","Saraswati Vihar",-1074570.66447809,3292497.26438907,8020480.36788022,13,"BAWANA",154625990.9875,529592854.173852,0.0518701954093126,0.0151446159151674
"103","NDPL","Saraswati Vihar",-1057234.87519478,3277844.26657402,4868765.17908961,14,"SUBZI MANDI",154625990.9875,529592854.173852,0.0314873660501436,0.00919341177041509
"104","NDPL","Saraswati Vihar",-1056038.77313628,3279659.54527124,722496.223928153,15,"GOPALPUR",154625990.9875,529592854.173852,0.00467254062084919,0.00136424843770829
"105","NDPL","Punjabi Bagh",-1064481.02957878,3279568.86414372,5750773.15245797,24,"ROHINI",74961537.778024,529592854.173852,0.0767163177666812,0.0108588571524988
"106","NDPL","Saraswati Vihar",-1073672.86274379,3286009.11854315,81036995.1064011,10,"KANJHAWALA",154625990.9875,529592854.173852,0.524083917515215,0.1530175387899
"107","NDPL","Model Town",-1056564.55855229,3283410.66632656,10099603.4081986,16,"SHALIMARBAGH",23322509.0423438,529592854.173852,0.433041033015015,0.019070505443193
"108","NDPL","Saraswati Vihar",-1059315.37762492,3280741.85604097,21570376.1341975,11,"SHALIMARBAGH",154625990.9875,529592854.173852,0.139500325892439,0.0407301117532007
"109","NDPL","Model Town",-1054006.44318416,3278431.65199668,967234.751351667,17,"SUBZI MANDI",23322509.0423438,529592854.173852,0.0414721567733377,0.00182637424906445
"110","NDPL","Rajouri Garden",-1061932.21823135,3274361.20358742,440720.958678851,35,"SUBZI MANDI",13900109.7762597,529592854.173852,0.0317062933870903,0.000832188265391839
"111","NDPL","Seelampur",-1050693.49908173,3287565.25483197,3256421.56772351,48,"GOPALPUR",45433670.2428318,529592854.173852,0.0716741911960609,0.00614891523187832
"112","NDPL","Saraswati Vihar",-1065227.70029445,3282622.26322249,35044352.948807,12,"ROHINI",154625990.9875,529592854.173852,0.226639471960701,0.0661722541620677
