"","Time","BRPL_summer","BYPL_summer","NDPL_summer","NDMC_summer","MES_summer"
"44","10:45 - 11:00",1475.30638041428,844.630081941748,999.148723915812,241.31524815534,29.9090866019417
"45","11:00 - 11:15",1483.45267536574,852.809758932039,1006.898946343,243.529540970874,30.0103650485437
"46","11:15 - 11:30",1494.6773879871,859.618895728155,1015.01348517795,245.052606019417,30.1981605825243
"47","11:30 - 11:45",1502.39433051137,864.661465825243,1022.87632847892,246.149212621359,30.2487572815534
"48","11:45 - 12:00",1510.37269284147,872.814026407767,1029.89895022649,247.237604466019,30.3474122330097
"49","12:00 - 12:15",1519.24394235603,878.941270388349,1036.182586343,248.669434951456,30.4358747572816
"50","12:15 - 12:30",1526.37343555992,883.433258058252,1040.86840372164,249.170139029126,30.5216486407767
"51","12:30 - 12:45",1533.34677653079,887.229136699029,1045.40847061484,250.001045631068,30.527222038835
"52","12:45 - 13:00",1536.33914507448,885.632496213592,1037.3035047896,250.715895145631,30.585737961165
"53","13:00 - 13:15",1525.09649012302,877.758640349515,996.98705546921,251.933399223301,30.3829642718447
"54","13:15 - 13:30",1526.52559594827,875.378696019417,982.558594595424,250.871114757282,30.1715323300971
"55","13:30 - 13:45",1540.30291594827,880.533893184466,995.8199340129,250.128170097087,29.4704302912621
"56","13:45 - 14:00",1557.00633420069,889.607049456311,1023.11306867309,249.835689902913,29.0803459223301
"57","14:00 - 14:15",1576.45830526865,899.549183223301,1042.06686042067,249.635832038835,28.8778246601942
"58","14:15 - 14:30",1591.70812552108,908.504262776699,1058.51314760513,249.177764854369,28.6066027184466
"59","14:30 - 14:45",1609.79987769584,919.315660291262,1073.16276983814,250.411690291262,28.3563275728155
"60","14:45 - 15:00",1620.30287517157,923.838913708738,1079.73235226533,251.460957087379,27.93646
"61","15:00 - 15:15",1627.77867070555,929.131827281553,1085.02885721678,251.716211262136,27.7357636893204
"62","15:15 - 15:30",1629.37426313273,929.198878737864,1085.95439061484,251.277605242718,27.6163411650485
"63","15:30 - 15:45",1626.83261614244,927.407943980583,1086.41147469251,250.375545825243,27.5756378640777
"64","15:45 - 16:00",1625.44463381234,925.587785825243,1084.2755132362,248.784313980583,27.4862122330097
"65","16:00 - 16:15",1621.12236293856,927.678272970874,1080.72877488669,247.381072038835,27.4431123300971
"66","16:15 - 16:30",1613.45249769584,923.528719165049,1073.10939110028,244.320359223301,27.3692926213592
"67","16:30 - 16:45",1602.6520510939,919.322211320388,1064.40892770222,241.561065825243,27.3700105825243
"68","16:45 - 17:00",1589.42428429778,914.755098116505,1053.92176449834,238.074831067961,27.3715741747573
"69","17:00 - 17:15",1573.98920041428,910.894332504854,1041.83751925562,232.625533203883,27.3452568932039
"70","17:15 - 17:30",1553.97313381234,903.822285669903,1029.32264731387,225.378879417476,27.1286815533981
"71","17:30 - 17:45",1534.66600352108,897.378834854369,1013.62961906144,216.612593786408,26.7250859223301
"72","17:45 - 18:00",1520.4061487638,893.788864776699,1001.67710828474,207.743643883495,26.2455801941748
"73","18:00 - 18:15",1501.90723089972,889.703204990291,989.887697022608,199.824021747573,25.6620276699029
"74","18:15 - 18:30",1488.80635089972,887.655280582524,983.7704540129,192.959112815534,25.2930112621359
"75","18:30 - 18:45",1485.9297510939,889.009972796116,984.266077605133,188.266681359223,25.2409940776699
"76","18:45 - 19:00",1496.55998235603,894.872176796116,990.426150226492,185.466954563107,25.5887814563107
"77","19:00 - 19:15",1510.63408410361,900.275322582524,1000.91594284785,183.407297864078,26.0831666990291
"78","19:15 - 19:30",1534.7116703172,908.152869456311,1015.72443867309,181.005301747573,26.8817048543689
"79","19:30 - 19:45",1555.4218295405,913.903186912621,1025.0135540129,178.850110679612,27.6318976699029
"80","19:45 - 20:00",1572.97317089972,917.187529378641,1030.56244430416,175.621589320388,28.3503249514563
"81","20:00 - 20:15",1580.71257789001,913.759916330097,1023.94592517795,171.176776504854,28.7982710679612
"82","20:15 - 20:30",1589.11354682205,909.49220584466,1018.01909935271,167.765347378641,29.0891495145631
"83","20:30 - 20:45",1592.94974623953,903.039473281553,1011.14801275076,165.147370679612,29.2060895145631
"84","20:45 - 21:00",1598.47935769584,897.61365823301,1000.37723032358,162.651653398058,29.1365711650485
"85","21:00 - 21:15",1595.96749478322,888.911928757282,980.549797119696,159.843198640777,28.8455330097087
"86","21:15 - 21:30",1609.36659983176,889.387962174757,983.629966634259,157.902590097087,28.5980833980583
"87","21:30 - 21:45",1620.61634973467,894.273919417476,995.259491585715,156.721449126214,28.2207547572816
"88","21:45 - 22:00",1633.37262080263,901.662364407767,1009.85937294494,155.820161359223,27.788704368932
"89","22:00 - 22:15",1637.89557750166,906.03227992233,1020.88095216824,154.504197087379,27.1366023300971
"90","22:15 - 22:30",1648.96347789001,913.193598834951,1034.46989789639,153.492891067961,26.6670818446602
"91","22:30 - 22:45",1655.15910740458,916.949057902913,1043.81519177989,152.853947378641,26.1120798058252
"92","22:45 - 23:00",1655.99100080263,917.055709883495,1048.36952391581,151.772079417476,25.6528570873786
"93","23:00 - 23:15",1644.30079051137,909.395947378641,1042.26414488669,149.849797864078,25.058373592233
"94","23:15 - 23:30",1636.95820293856,904.582707398058,1040.65446284785,148.123027378641,24.6709991262136
"95","23:30 - 23:45",1626.01937439487,896.470259223301,1035.88302828474,146.039154757282,24.3939812621359
"96","23:45 - 24:00",1611.9006864337,885.452924621359,1030.25031779931,143.98193961165,24.190104368932
"97","TOTAL IN Mus",35.5249197386953,20.0573803622476,22.9309742676203,4.30511909208738,0.634741406092233
